"CODIGO_SOLICITUD","FECHA_RECEPCION","FECHA_RESPUESTA","PAIS_SOLICITUD","SECTOR_SOLICITUD","CATEGORIA_SOLICITUD","ESTADO_SOLICITUD","RESUMEN_SOLICITUD","RESUMEN_RESPUESTA","RESERVA","ES_REVISION","FECHA_RECEPCION_REVISION","FECHA_RESPUESTA_REVISION","RESUMEN_SOLICITUD_REVISION","RESUMEN_RESPUESTA_REVISION","ESTADO_REVISION"
F-11-2021,2021-04-12 21:38:33.000,2021-04-13 19:24:10.000,Honduras,Personal,Estandar,Otorgado,,,,0,,,,,
F-39-2023,2023-03-29 13:58:35.000,2023-08-03 18:18:47.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-12-2021,2021-04-13 19:43:13.000,2021-04-15 19:35:07.000,Perú,Academia,Estandar,Otorgado,,,,0,,,,,
F-42-2023,2023-03-29 14:03:22.000,2023-08-15 08:29:29.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-14-2021,2021-04-15 08:47:34.000,2021-04-21 10:46:01.000,Panamá,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-43-2023,2023-03-29 14:04:47.000,2023-04-26 12:30:13.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-15-2021,2021-04-15 18:17:28.000,2021-04-16 12:11:26.000,Honduras,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-46-2023,2023-03-29 14:12:02.000,2023-04-26 12:36:30.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-16-2021,2021-04-20 04:33:41.000,2021-04-21 11:01:34.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-49-2023,2023-03-30 11:57:02.000,2023-08-03 18:23:43.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-20-2021,2021-04-27 22:11:22.000,2021-04-28 16:23:36.000,El Salvador,Personal,Estandar,Otorgado,,,,0,,,,,
F-51-2023,2023-03-30 11:58:28.000,2023-05-02 17:48:08.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-21-2021,2021-04-28 14:13:23.000,2021-04-28 16:25:12.000,El Salvador,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-53-2023,2023-03-30 12:01:14.000,2023-05-03 20:17:12.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-22-2021,2021-04-29 03:48:38.000,2021-04-29 08:43:42.000,Guatemala,Personal,Estandar,Otorgado,,,,0,,,,,
F-55-2023,2023-03-30 12:05:16.000,2023-05-10 15:28:48.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-23-2021,2021-04-29 20:15:32.000,2021-04-30 08:17:00.000,El Salvador,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-56-2023,2023-03-30 12:07:08.000,2023-05-08 11:51:08.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-24-2021,2021-04-30 15:31:48.000,2021-06-03 14:49:00.000,El Salvador,Medios de comunicación,Compleja,Otorgado,,,,0,,,,,
F-57-2023,2023-03-30 12:07:08.000,2023-05-08 18:05:01.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-25-2021,2021-04-30 21:10:28.000,2021-06-05 12:23:29.000,Colombia,Academia,No Categorizada,Desestimado,,,,0,,,,,
F-26-2021,2021-05-01 18:18:39.000,2021-05-04 15:08:03.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-27-2021,2021-05-02 13:55:08.000,2021-05-04 17:14:42.000,Costa Rica,Personal,Estandar,Otorgado,,,,0,,,,,
F-28-2021,2021-05-03 10:43:37.000,2021-06-05 12:25:02.000,Honduras,Sector Público,No Categorizada,Desestimado,,,,0,,,,,
F-29-2021,2021-05-10 18:36:42.000,2021-05-11 09:10:49.000,Honduras,Personal,Estandar,Otorgado,,,,0,,,,,
F-30-2021,2021-05-11 15:45:51.000,2021-05-11 20:11:05.000,Honduras,Personal,Estandar,Otorgado,,,,0,,,,,
F-31-2021,2021-05-11 16:35:41.000,2021-05-11 20:13:15.000,El Salvador,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-32-2021,2021-05-18 22:02:42.000,2021-08-18 18:39:53.000,El Salvador,ONG,Compleja,Denegado,,,,0,,,,,
F-33-2021,2021-05-19 16:53:13.000,2021-06-28 17:11:49.000,Canadá,Academia,Compleja,Otorgado,,,,0,,,,,
F-34-2021,2021-05-24 12:10:39.000,2021-05-28 15:57:18.000,Nicaragua,ONG,Compleja,Otorgado,,,,0,,,,,
F-35-2021,2021-05-24 13:12:46.000,2021-05-25 09:20:03.000,República Dominicana,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-36-2021,2021-05-26 12:42:13.000,2021-05-26 16:12:09.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-37-2021,2021-05-29 20:46:06.000,2021-06-25 16:32:06.000,Guatemala,Academia,Compleja,Otorgado,,,,0,,,,,
F-38-2021,2021-05-31 13:57:59.000,2021-06-21 17:52:00.000,Argentina,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-39-2021,2021-06-08 11:29:10.000,2021-06-08 16:37:07.000,El Salvador,Academia,Estandar,Otorgado,,,,0,,,,,
F-40-2021,2021-06-08 19:11:25.000,2021-07-09 08:28:29.000,Guatemala,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-41-2021,2021-06-13 08:20:53.000,2021-06-24 15:02:59.000,Ecuador,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-43-2021,2021-06-24 12:05:47.000,2021-07-07 08:21:00.000,Costa Rica,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-44-2021,2021-06-24 19:21:41.000,2021-06-25 12:20:01.000,El Salvador,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-45-2021,2021-06-28 12:29:09.000,2021-07-05 10:13:29.000,Honduras,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-46-2021,2021-06-28 20:16:32.000,2021-07-06 12:06:29.000,México,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-48-2021,2021-07-05 11:50:33.000,2021-07-05 14:32:32.000,Nicaragua,Academia,Estandar,Otorgado,,,,0,,,,,
F-49-2021,2021-07-06 11:14:34.000,2021-07-09 18:17:29.000,Costa Rica,Sector Privado,Compleja,Denegado,,,,0,,,,,
F-50-2021,2021-07-07 10:15:30.000,2021-07-09 08:17:17.000,Costa Rica,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-51-2021,2021-07-07 10:36:23.000,2021-07-08 18:21:33.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-52-2021,2021-07-09 10:59:45.000,2021-09-01 17:35:54.000,Nicaragua,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-53-2021,2021-07-10 16:58:07.000,2021-07-11 09:33:40.000,El Salvador,Personal,No Categorizada,Desestimado,,,,0,,,,,
F-54-2021,2021-07-13 09:02:54.000,2021-07-13 09:44:35.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-55-2021,2021-07-13 14:06:59.000,2021-07-13 14:19:23.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-56-2021,2021-07-16 21:01:45.000,2021-07-19 11:35:05.000,Costa Rica,Sector Privado,Estandar,Otorgado,,,,0,,,,,
C-57-2021,2021-07-19 11:39:00.000,2021-07-21 08:27:22.000,Costa Rica,Medios de comunicación,Compleja,Otorgado,,,,0,,,,,
F-58-2021,2021-07-20 02:25:16.000,2021-07-20 08:50:52.000,Honduras,Personal,Estandar,Otorgado,,,,0,,,,,
F-59-2021,2021-07-21 10:42:49.000,2021-08-06 16:38:03.000,Colombia,Personal,Compleja,Otorgado,,,,0,,,,,
F-61-2021,2021-07-26 14:38:44.000,2021-07-26 18:47:58.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-62-2021,2021-07-26 14:41:12.000,2021-07-27 16:31:29.000,Guatemala,Personal,Estandar,Otorgado,,,,0,,,,,
F-63-2021,2021-08-02 13:27:03.000,2021-08-11 14:24:13.000,Honduras,Academia,Compleja,Otorgado,,,,0,,,,,
F-64-2021,2021-08-03 16:08:10.000,2021-08-04 09:36:55.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-65-2021,2021-08-03 22:33:03.000,2021-08-04 08:23:55.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-66-2021,2021-08-04 17:27:43.000,2021-08-05 14:24:36.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-67-2021,2021-08-09 12:59:06.000,2021-08-09 19:32:19.000,Argentina,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-68-2021,2021-08-10 14:32:32.000,2021-08-12 11:47:19.000,El Salvador,Personal,Estandar,Otorgado,,,,0,,,,,
F-69-2021,2021-08-12 12:29:13.000,2021-11-09 08:55:59.000,Costa Rica,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-70-2021,2021-08-15 07:50:58.000,2021-08-16 09:08:04.000,Afganistán,Personal,Estandar,Otorgado,,,,0,,,,,
F-71-2021,2021-08-16 10:26:12.000,2021-08-16 14:47:12.000,Afganistán,Academia,Estandar,Otorgado,,,,0,,,,,
F-72-2021,2021-08-17 17:41:26.000,2021-08-20 17:38:14.000,El Salvador,Medios de comunicación,Compleja,Denegado,,,,0,,,,,
C-73-2021,2021-08-18 00:41:00.000,2021-09-22 10:57:00.000,El Salvador,Personal,Compleja,Otorgado,,,,0,,,,,
F-74-2021,2021-08-18 11:19:48.000,2021-08-18 15:07:59.000,El Salvador,Academia,Estandar,Otorgado,,,,0,,,,,
F-76-2021,2021-08-20 12:08:29.000,2021-09-10 17:12:34.000,El Salvador,Personal,Compleja,Otorgado,,,,0,,,,,
F-77-2021,2021-08-25 14:51:44.000,2021-08-25 15:18:12.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-78-2021,2021-09-01 09:48:14.000,2021-11-19 18:04:35.000,Chile,Sector Público,Compleja,Otorgado,,,,0,,,,,
C-80-2021,2021-08-18 15:56:00.000,2021-09-08 17:54:14.000,Honduras,Personal,Compleja,Denegado,,,,0,,,,,
F-81-2021,2021-09-27 16:33:25.000,2021-09-29 09:46:05.000,Honduras,Personal,Estandar,Otorgado,,,,0,,,,,
F-82-2021,2021-09-18 00:00:00.000,2021-09-29 09:48:27.000,Argentina,Personal,Estandar,Otorgado,,,,0,,,,,
F-83-2021,2021-09-22 00:00:00.000,2021-10-21 16:45:41.000,República Dominicana,Medios de comunicación,Compleja,Otorgado,,,,0,,,,,
F-84-2021,2021-09-23 00:00:00.000,2021-10-20 09:03:15.000,Guatemala,Sector Público,Compleja,Otorgado,,,,0,,,,,
F-87-2021,2021-10-06 15:37:46.000,2022-02-09 17:41:13.000,El Salvador,ONG,Compleja,Denegado,,,,0,,,,,
F-89-2021,2021-10-07 13:30:01.000,2021-11-01 17:37:00.000,Honduras,Academia,Compleja,Otorgado,,,,0,,,,,
F-91-2021,2021-10-14 11:47:25.000,2021-10-22 15:27:57.000,Reino Unido,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-92-2021,2021-10-15 22:32:53.000,2021-11-01 17:33:27.000,Honduras,Academia,Compleja,Otorgado,,,,0,,,,,
F-93-2021,2021-10-18 16:04:41.000,2021-10-20 12:09:03.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-94-2021,2021-10-19 21:01:03.000,2021-10-21 16:36:45.000,Guatemala,Sector Público,Compleja,Otorgado,,,,0,,,,,
F-95-2021,2021-10-22 13:30:05.000,2022-02-09 17:44:05.000,El Salvador,ONG,Compleja,Denegado,,,,0,,,,,
F-97-2021,2021-10-26 08:45:17.000,2021-11-26 08:30:38.000,Costa Rica,Sector Público,No Categorizada,Desestimado,,,,0,,,,,
F-98-2021,2021-10-27 14:38:42.000,2021-11-17 17:25:11.000,Honduras,Sector Público,Compleja,Otorgado,,,,0,,,,,
F-99-2021,2021-11-03 02:08:50.000,2021-11-03 16:19:38.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-100-2021,2021-11-03 12:59:52.000,2021-11-03 16:58:59.000,Colombia,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-101-2021,2021-11-08 10:35:45.000,2021-11-11 19:49:26.000,Honduras,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-102-2021,2021-11-08 16:19:47.000,2021-11-09 08:39:54.000,República Dominicana,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-103-2021,2021-11-12 17:19:34.000,2021-11-16 09:19:24.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-104-2021,2021-11-16 22:19:04.000,2021-11-17 08:20:48.000,Argentina,Personal,Estandar,Otorgado,,,,0,,,,,
F-105-2021,2021-11-18 00:57:08.000,2021-11-29 15:44:08.000,El Salvador,Personal,Compleja,Otorgado,,,,0,,,,,
F-106-2021,2021-11-18 10:53:57.000,2021-11-18 11:40:37.000,Estados Unidos,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-107-2021,2021-11-20 10:06:02.000,2021-11-29 16:35:30.000,Nicaragua,ONG,Compleja,Otorgado,,,,0,,,,,
F-108-2021,2021-11-25 12:18:08.000,2021-12-14 09:02:35.000,Honduras,Academia,Compleja,Otorgado,,,,0,,,,,
F-109-2021,2021-11-26 16:05:55.000,2021-12-16 11:29:52.000,Nicaragua,Medios de comunicación,Compleja,Otorgado,,,,0,,,,,
F-110-2021,2021-11-29 14:00:57.000,2021-12-17 15:17:00.000,Argentina,Sector Privado,Compleja,Denegado,,,,0,,,,,
F-111-2021,2021-12-01 06:23:06.000,2021-12-10 18:45:17.000,Nicaragua,Personal,Compleja,Otorgado,,,,0,,,,,
F-112-2021,2021-12-02 15:18:52.000,2021-12-07 15:42:10.000,Honduras,Sector Privado,Estandar,Desestimado,,,,0,,,,,
F-113-2021,2021-12-08 10:35:29.000,2022-02-09 17:49:12.000,El Salvador,Academia,Compleja,Otorgado,,,,0,,,,,
F-114-2021,2021-12-14 10:37:50.000,2022-01-26 11:16:59.000,South Korea,Personal,Compleja,Otorgado,,,,0,,,,,
F-115-2021,2021-12-14 13:54:01.000,2022-01-17 11:59:06.000,Nicaragua,Medios de comunicación,Compleja,Otorgado,,,,0,,,,,
F-116-2021,2021-12-27 13:42:49.000,2022-01-12 15:07:17.000,Colombia,Sector Público,Compleja,Otorgado,,,,0,,,,,
F-117-2021,2021-12-27 16:37:07.000,2022-01-05 16:37:53.000,Argentina,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-118-2021,2021-12-29 00:05:44.000,2022-01-13 17:17:38.000,Nicaragua,Academia,Compleja,Otorgado,,,,0,,,,,
F-1-2022,2022-01-05 04:24:54.000,2022-01-12 10:20:39.000,United Kingdom,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-2-2022,2022-01-05 19:09:20.000,2022-01-06 11:08:53.000,United States,Personal,Estandar,Otorgado,,,,0,,,,,
F-3-2022,2022-01-06 11:34:07.000,2022-01-25 10:50:37.000,Costa Rica,Academia,Compleja,Otorgado,,,,0,,,,,
F-4-2022,2022-01-07 22:03:29.000,2022-01-08 07:43:43.000,Panamá,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-5-2022,2022-01-13 14:11:35.000,2022-03-04 18:30:58.000,United States,Academia,Compleja,Otorgado,,,,0,,,,,
F-6-2022,2022-01-14 10:12:38.000,2022-03-04 18:21:35.000,Venezuela,Academia,Compleja,Otorgado,,,,0,,,,,
F-7-2022,2022-01-15 05:50:16.000,2022-01-17 11:22:40.000,Argentina,Academia,Estandar,Otorgado,,,,0,,,,,
F-8-2022,2022-01-17 12:43:46.000,2022-07-20 13:18:28.000,El Salvador,Personal,Compleja,Denegado,,,,0,,,,,
F-9-2022,2022-01-19 12:48:16.000,2022-01-25 10:31:34.000,El Salvador,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-10-2022,2022-01-20 11:59:58.000,2022-01-20 14:33:39.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-11-2022,2022-02-01 09:44:31.000,2022-02-10 14:33:58.000,Ni,Academia,Compleja,Otorgado,,,,0,,,,,
F-12-2022,2022-02-01 09:51:58.000,2022-02-04 10:15:11.000,Colombia,ONG,No Categorizada,Desestimado,,,,0,,,,,
F-13-2022,2022-02-01 09:55:59.000,2022-03-24 09:56:51.000,Guatemala,Medios de comunicación,Compleja,Desestimado,,,,0,,,,,
F-14-2022,2022-02-01 09:58:58.000,2022-02-10 09:49:17.000,El Salvador,Academia,Compleja,Otorgado,,,,0,,,,,
F-15-2022,2022-02-10 08:32:20.000,2022-02-10 08:52:22.000,Argentina,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-16-2022,2022-02-11 17:34:49.000,2022-02-13 16:29:39.000,Panamá,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-17-2022,2022-02-13 08:14:43.000,2022-02-17 10:08:13.000,South Africa,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-18-2022,2022-02-17 16:02:14.000,2022-02-21 09:30:25.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-19-2022,2022-02-17 16:02:51.000,2022-02-28 09:54:29.000,Costa Rica,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-21-2022,2022-02-26 07:36:03.000,2022-02-28 09:38:00.000,España,Academia,Estandar,Otorgado,,,,0,,,,,
F-23-2022,2022-03-03 16:38:26.000,2022-04-08 15:24:55.000,El Salvador,Medios de comunicación,Compleja,Otorgado,,,,0,,,,,
F-24-2022,2022-03-06 01:57:38.000,2022-03-08 10:10:03.000,Colombia,Personal,Estandar,Otorgado,,,,0,,,,,
F-25-2022,2022-03-08 17:12:11.000,2022-03-09 17:04:26.000,Honduras,Personal,Estandar,Otorgado,,,,0,,,,,
F-26-2022,2022-03-17 08:07:41.000,2022-03-17 08:27:02.000,Nicaragua,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-27-2022,2022-03-17 11:53:54.000,2022-03-18 10:58:01.000,Mexico,Sector Privado,Estandar,Desestimado,,,,0,,,,,
F-28-2022,2022-03-17 22:57:29.000,2022-03-18 08:31:29.000,Nicaragua,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-29-2022,2022-03-22 15:36:10.000,2022-03-23 09:01:11.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-31-2022,2022-03-30 08:36:08.000,2022-03-30 11:58:56.000,Honduras,Academia,Compleja,Otorgado,,,,0,,,,,
F-33-2022,2022-03-31 14:49:01.000,2022-04-25 18:25:13.000,Honduras,Sector Público,Compleja,Denegado,,,,0,,,,,
F-34-2022,2022-04-01 15:29:51.000,2022-04-01 16:37:51.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-35-2022,2022-04-04 14:36:02.000,2022-06-02 11:03:44.000,Honduras,ONG,No Categorizada,Desestimado,,,,0,,,,,
F-36-2022,2022-04-11 11:45:48.000,2022-04-11 17:52:03.000,Honduras,Academia,Estandar,Otorgado,,,,0,,,,,
F-37-2022,2022-04-11 21:19:50.000,2022-04-12 08:22:43.000,Honduras,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-38-2022,2022-04-13 13:09:34.000,2022-06-02 11:02:35.000,Nicaragua,Academia,No Categorizada,Desestimado,,,,0,,,,,
F-39-2022,2022-04-15 22:30:12.000,2022-04-17 18:48:07.000,Nicaragua,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-40-2022,2022-04-18 12:09:17.000,2022-04-27 12:01:59.000,Costa Rica,Sector Público,Compleja,Otorgado,,,,0,,,,,
F-41-2022,2022-04-25 08:25:28.000,,Brasil,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-42-2022,2022-04-26 09:50:44.000,2022-05-05 19:13:10.000,El Salvador,ONG,Compleja,Otorgado,,,,0,,,,,
F-43-2022,2022-04-28 17:41:41.000,2022-04-28 18:33:04.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-44-2022,2022-05-03 04:23:49.000,2022-05-04 10:21:32.000,España,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-45-2022,2022-05-06 08:33:57.000,2022-05-06 11:13:49.000,Guatemala,Personal,Estandar,Otorgado,,,,0,,,,,
F-46-2022,2022-05-11 10:22:15.000,2022-06-02 11:01:16.000,Nicaragua,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-47-2022,2022-05-12 11:48:52.000,2022-05-13 16:02:23.000,Nicaragua,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-48-2022,2022-05-23 13:02:07.000,2022-06-02 10:58:17.000,República Dominicana,Sector Público,Compleja,Desestimado,,,,0,,,,,
F-49-2022,2022-05-24 09:19:55.000,2022-06-06 15:08:07.000,Honduras,Sector Privado,Compleja,Otorgado,,,,0,,,,,
F-53-2022,2022-06-01 08:24:46.000,2022-06-03 10:34:43.000,Suiza,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-54-2022,2022-06-02 08:36:39.000,2022-06-06 14:50:24.000,Suiza,Sector Privado,Compleja,Desestimado,,,,0,,,,,
F-55-2022,2022-06-02 08:42:03.000,2022-06-15 08:47:02.000,Luxemburgo,Academia,Compleja,Denegado,,,,0,,,,,
F-56-2022,2022-06-02 08:42:42.000,2022-06-06 14:45:08.000,El Salvador,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-57-2022,2022-06-02 08:43:35.000,2022-07-05 14:24:07.000,Guatemala,Academia,Compleja,Otorgado,,,,0,,,,,
F-58-2022,2022-06-02 08:51:01.000,2022-06-02 09:03:27.000,Argelia,Personal,Estandar,Otorgado,,,,0,,,,,
F-59-2022,2022-06-08 11:08:43.000,2022-06-13 09:36:05.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-60-2022,2022-06-09 06:59:49.000,2022-06-09 11:01:36.000,Pakistan,Academia,Estandar,Otorgado,,,,0,,,,,
F-61-2022,2022-06-11 10:28:27.000,2022-06-13 08:57:26.000,El Salvador,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-62-2022,2022-06-11 22:53:12.000,2022-06-13 09:24:16.000,Honduras,ONG,Estandar,Otorgado,,,,0,,,,,
F-63-2022,2022-06-12 18:03:14.000,2022-08-19 18:20:33.000,El Salvador,Academia,Compleja,Otorgado,,,,0,,,,,
F-64-2022,2022-06-13 17:51:11.000,2022-06-20 08:54:23.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-65-2022,2022-06-15 16:46:18.000,2022-06-16 09:07:31.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-66-2022,2022-06-15 16:54:15.000,2022-08-05 16:43:16.000,Costa Rica,Academia,No Categorizada,Desestimado,,,,0,,,,,
F-67-2022,2022-06-15 19:13:05.000,2022-06-16 09:20:37.000,Colombia,Personal,Estandar,Otorgado,,,,0,,,,,
F-68-2022,2022-06-16 03:38:45.000,2022-08-05 16:44:44.000,Nicaragua,Academia,No Categorizada,Desestimado,,,,0,,,,,
F-69-2022,2022-06-18 22:02:51.000,2022-06-21 08:40:04.000,Cuba,Personal,Estandar,Otorgado,,,,0,,,,,
F-70-2022,2022-06-20 13:08:55.000,2022-06-22 11:04:10.000,Costa Rica,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-71-2022,2022-06-21 13:14:29.000,2022-08-05 16:46:39.000,Estados Unidos,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-72-2022,2022-06-27 13:36:06.000,2022-08-05 16:47:50.000,Panamá,Sector Privado,No Categorizada,Desestimado,,,,0,,,,,
F-73-2022,2022-06-27 15:37:01.000,2022-06-28 15:38:00.000,República Dominicana,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-74-2022,2022-06-27 17:06:35.000,2022-06-27 17:13:24.000,Honduras,Academia,Estandar,Otorgado,,,,0,,,,,
F-75-2022,2022-06-27 18:59:40.000,2022-06-28 14:40:54.000,Honduras,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-76-2022,2022-06-29 12:10:18.000,2022-06-30 14:34:54.000,Bélgica,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-77-2022,2022-06-29 19:32:03.000,2022-06-30 14:27:01.000,Nicaragua,Sector Público,Estandar,Otorgado,,,,0,,,,,
F-78-2022,2022-07-01 02:57:54.000,2022-07-04 17:04:51.000,India,ONG,Estandar,Otorgado,,,,0,,,,,
F-79-2022,2022-07-02 20:28:40.000,2022-07-13 17:34:21.000,Costa Rica,Personal,Estandar,Otorgado,,,,0,,,,,
F-80-2022,2022-07-03 13:00:02.000,2022-07-04 16:48:26.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-81-2022,2022-07-05 01:41:20.000,2022-07-05 14:42:53.000,Costa Rica,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-82-2022,2022-07-05 01:41:20.000,2022-07-05 14:37:06.000,Costa Rica,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-83-2022,2022-07-05 05:54:22.000,2022-07-05 14:31:44.000,Nicaragua,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-84-2022,2022-07-06 16:03:58.000,2022-08-01 18:18:51.000,El Salvador,Medios de comunicación,Compleja,Desestimado,,,,0,,,,,
F-85-2022,2022-07-09 19:11:38.000,2022-08-05 16:49:39.000,Costa Rica,Academia,No Categorizada,Desestimado,,,,0,,,,,
F-87-2022,2022-07-14 10:29:03.000,2022-07-21 11:30:52.000,Costa Rica,Sector Privado,Compleja,Desestimado,,,,0,,,,,
F-88-2022,2022-07-19 10:51:49.000,2022-07-20 13:07:14.000,Costa Rica,Academia,Estandar,Otorgado,,,,0,,,,,
F-89-2022,2022-07-26 17:23:14.000,2022-10-21 15:10:18.000,Ecuador,Sector Privado,Compleja,Denegado,,,,0,,,,,
F-90-2022,2022-07-28 08:31:56.000,2022-08-03 16:42:36.000,Guatemala,Personal,Compleja,Otorgado,,,,0,,,,,
F-91-2022,2022-07-28 15:41:21.000,2022-08-01 08:57:10.000,Guatemala,Medios de comunicación,Estandar,Otorgado,,,,0,,,,,
F-92-2022,2022-07-31 15:13:04.000,2022-08-01 18:26:39.000,República Dominicana,Sector Privado,Estandar,Otorgado,,,,0,,,,,
F-93-2022,2022-08-05 17:01:51.000,2022-08-05 17:06:29.000,Nicaragua,Personal,Estandar,Otorgado,,,,0,,,,,
F-94-2022,2022-08-08 22:20:48.000,2022-09-20 15:08:50.000,Nicaragua,Personal,No Categorizada,Desestimado,,,,0,,,,,
